                          ,      ,Start of Bloom, Amplitude,    Duration,    Magnitude
Region                    ,  Year, (Day of Year),  (mg/m^3),    (# days), (Area under Gaussian)
Magdalen_Shallows         ,  2003,        92.8,       2.426,        32.2,       54.48
Magdalen_Shallows         ,  2004,       105.0,       5.834,        14.2,       57.76
Magdalen_Shallows         ,  2005,            ,            ,            ,            
Magdalen_Shallows         ,  2006,       107.3,       2.434,        13.6,       23.18
Magdalen_Shallows         ,  2007,        72.4,       3.116,        63.3,      137.69
Magdalen_Shallows         ,  2008,       104.4,       1.989,        22.4,       31.06
Magdalen_Shallows         ,  2009,        94.0,       1.970,        43.8,       60.23
Magdalen_Shallows         ,  2010,        66.0,       3.018,        48.9,      103.05
Magdalen_Shallows         ,  2011,        98.5,       3.139,        28.6,       62.79
Magdalen_Shallows         ,  2012,        77.7,       6.330,        25.4,      112.33
Magdalen_Shallows         ,  2013,        79.7,       1.886,        49.4,       65.11
Magdalen_Shallows         ,  2014,       109.3,       6.341,        14.9,       66.12
Magdalen_Shallows         ,  2015,       113.5,       4.897,        16.9,       57.82
Magdalen_Shallows         ,  2016,        68.1,       2.902,        57.5,      116.59
Magdalen_Shallows         ,  2017,            ,            ,            ,            
Northeast_GSL             ,  2003,       105.9,       0.901,       100.2,       63.06
Northeast_GSL             ,  2004,       104.1,       2.993,        15.7,       32.86
Northeast_GSL             ,  2005,       102.2,       1.118,        13.3,       10.37
Northeast_GSL             ,  2006,        99.7,       2.423,        18.0,       30.43
Northeast_GSL             ,  2007,       106.0,       1.616,        17.5,       19.77
Northeast_GSL             ,  2008,       101.8,       1.007,        35.6,       25.04
Northeast_GSL             ,  2009,        91.0,       1.020,        29.2,       20.79
Northeast_GSL             ,  2010,        84.6,       2.504,        24.4,       42.74
Northeast_GSL             ,  2011,       115.4,       1.937,        14.6,       19.76
Northeast_GSL             ,  2012,       109.3,       1.712,        18.1,       21.63
Northeast_GSL             ,  2013,        96.2,       2.703,        26.1,       49.25
Northeast_GSL             ,  2014,       123.1,       1.560,        15.5,       16.93
Northeast_GSL             ,  2015,       123.3,       0.639,        14.5,        6.49
Northeast_GSL             ,  2016,        97.6,       1.572,        26.9,       29.51
Northeast_GSL             ,  2017,        93.3,       1.498,        27.9,       29.18
Northeast_Nfld_Shelf      ,  2003,       115.5,       2.058,        30.9,       44.36
Northeast_Nfld_Shelf      ,  2004,       114.2,       1.976,        36.8,       50.73
Northeast_Nfld_Shelf      ,  2005,        99.0,       1.824,        26.3,       33.46
Northeast_Nfld_Shelf      ,  2006,        97.3,       3.798,        29.8,       79.02
Northeast_Nfld_Shelf      ,  2007,        93.5,       1.145,        67.1,       53.62
Northeast_Nfld_Shelf      ,  2008,       112.4,       1.821,        14.5,       18.49
Northeast_Nfld_Shelf      ,  2009,       108.0,       2.967,        31.8,       65.81
Northeast_Nfld_Shelf      ,  2010,        94.7,       4.657,        22.7,       73.90
Northeast_Nfld_Shelf      ,  2011,       100.4,       5.372,        35.1,      131.57
Northeast_Nfld_Shelf      ,  2012,       100.9,       2.053,        21.7,       31.13
Northeast_Nfld_Shelf      ,  2013,        98.7,       1.380,        49.3,       47.49
